labels,parents,values,ids
mtq/bam,Differential susceptibility-questionnaires,1,Differential susceptibility-questionnaires-mtq/bam
tmcq-disc-f-p,Differential susceptibility-questionnaires,1,Differential susceptibility-questionnaires-tmcq-disc-f-p
Family background,,7,Family background
questionnaires,Family background,7,Family background-questionnaires
atq,Family background-questionnaires,1,Family background-questionnaires-atq
bsi,Family background-questionnaires,1,Family background-questionnaires-bsi
demographics,Family background-questionnaires,1,Family background-questionnaires-demographics
fad,Family background-questionnaires,1,Family background-questionnaires-fad
ims,Family background-questionnaires,1,Family background-questionnaires-ims
lifeevents,Family background-questionnaires,1,Family background-questionnaires-lifeevents
pregnancy,Family background-questionnaires,1,Family background-questionnaires-pregnancy
Additional,,14,Additional
anthropometrics,Additional,3,Additional-anthropometrics
cognitive,Additional,3,Additional-cognitive
questionnaires,Additional,8,Additional-questionnaires
headcircumference,Additional-anthropometrics,1,Additional-anthropometrics-headcircumference
length,Additional-anthropometrics,1,Additional-anthropometrics-length
weight,Additional-anthropometrics,1,Additional-anthropometrics-weight
wisc,Additional-cognitive,1,Additional-cognitive-wisc
wppsi,Additional-cognitive,1,Additional-cognitive-wppsi
reading,Additional-cognitive,1,Additional-cognitive-reading
hscs,Additional-questionnaires,1,Additional-questionnaires-hscs
fam-bg,Additional-questionnaires,1,Additional-questionnaires-fam-bg
sm,Additional-questionnaires,1,Additional-questionnaires-sm
vas,Additional-questionnaires,1,Additional-questionnaires-vas
wildman,Additional-questionnaires,1,Additional-questionnaires-wildman
pandemic,Additional-questionnaires,1,Additional-questionnaires-pandemic
pss,Additional-questionnaires,1,Additional-questionnaires-pss
as3cq,Additional-questionnaires,1,Additional-questionnaires-as3cq
