Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Wave 6
0,9,9,0,0,0
8,8,8,8,8,8
7,7,7,7,7,7
6,0,0,0,0,0
0,5,5,5,5,5
0,0,0,0,0,0
3,0,0,0,0,0
0,0,2,2,2,2
1,0,0,0,0,0
