Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Wave 6
0,15,15,0,0,0
0,0,0,0,0,0
13,13,13,0,0,0
0,0,0,0,0,0
11,11,11,11,11,11
10,10,10,0,0,0
0,0,0,9,0,9
0,0,0,0,8,8
7,7,7,0,0,0
0,0,0,0,0,6
5,5,5,5,5,5
4,4,4,4,4,4
0,0,0,0,0,0
0,0,2,0,0,0
0,0,1,1,1,1
