Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Wave 6
0,0,0,0,0,0
11,0,11,0,11,0
10,10,10,0,0,0
0,9,9,9,0,9
8,0,8,0,0,0
0,0,0,0,7,0
6,6,6,0,6,6
5,0,0,0,0,0
0,0,0,0,0,0
0,0,3,3,3,3
2,0,0,0,0,0
0,0,0,0,0,1
