Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Wave 6
0,0,0,0,0,0
18,0,18,0,0,0
0,17,0,0,0,0
16,16,16,0,0,0
0,0,0,0,0,0
0,14,14,14,14,14
13,0,13,0,13,0
0,0,0,0,0,0
0,11,0,11,0,11
10,10,10,10,10,10
0,0,0,0,0,0
0,0,0,0,0,0
7,0,7,0,7,0
0,0,6,6,6,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,3,3,0,3
0,0,2,2,2,2
1,1,0,0,0,0
