Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Wave 6
0,0,0,0,6,6
5,0,5,0,0,0
0,0,0,0,4,4
0,0,0,0,0,0
0,0,0,2,0,2
0,1,0,0,0,0
