Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Wave 6
0,0,0,0,0,22
21,21,21,21,21,21
0,0,0,0,0,0
19,0,19,0,19,0
0,0,0,0,0,0
0,17,0,17,0,17
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13,0,13,0,13,0
0,0,0,0,0,0
0,0,11,11,0,0
0,10,10,0,0,0
0,0,0,0,9,9
8,8,8,8,8,8
7,7,7,7,7,7
6,0,6,0,0,0
5,5,5,5,0,5
4,4,4,4,4,4
0,0,0,0,3,3
0,0,2,2,0,0
0,0,1,1,0,1
